# curie_map:
#   <http: http://w3id.org/sssom/unknown_prefix/<http/
#   <https: http://w3id.org/sssom/unknown_prefix/<https/
#   DECIPHER: http://w3id.org/sssom/unknown_prefix/decipher/
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   GARD: http://purl.obolibrary.org/obo/GARD_
#   HP: http://purl.obolibrary.org/obo/HP_
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   ICD9: http://w3id.org/sssom/unknown_prefix/icd9/
#   MEDGEN: http://w3id.org/sssom/unknown_prefix/medgen/
#   MESH: http://id.nlm.nih.gov/mesh/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   MedDRA: http://w3id.org/sssom/unknown_prefix/meddra/
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: https://omim.org/entry/
#   OMIMPS: https://www.omim.org/phenotypicSeries/PS
#   ORDO: http://www.orpha.net/ORDO/Orphanet_
#   Orphanet: http://w3id.org/sssom/unknown_prefix/orphanet/
#   SCTID: http://snomed.info/id/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: temp
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source
MONDO:0000608	familial juvenile hyperuricemic nephropathy	oio:hasDbXref	DOID:0060062		semapv:UnspecifiedMatching	MONDO	DOID
MONDO:0000608	familial juvenile hyperuricemic nephropathy	oio:hasDbXref	GARD:0000067		semapv:UnspecifiedMatching	MONDO	GARD
MONDO:0000608	familial juvenile hyperuricemic nephropathy	oio:hasDbXref	MESH:C537696		semapv:UnspecifiedMatching	MONDO	MESH
MONDO:0000608	familial juvenile hyperuricemic nephropathy	oio:hasDbXref	OMIMPS:162000		semapv:UnspecifiedMatching	MONDO	OMIMPS
MONDO:0000608	familial juvenile hyperuricemic nephropathy	oio:hasDbXref	SCTID:46785007		semapv:UnspecifiedMatching	MONDO	SCTID
MONDO:0000608	familial juvenile hyperuricemic nephropathy	oio:hasDbXref	UMLS:CN239392		semapv:UnspecifiedMatching	MONDO	UMLS
MONDO:0000608	familial juvenile hyperuricemic nephropathy	skos:exactMatch	<http://identifiers.org/mesh/C537696>		semapv:UnspecifiedMatching	MONDO	<http
MONDO:0000608	familial juvenile hyperuricemic nephropathy	skos:exactMatch	<http://identifiers.org/snomedct/46785007>		semapv:UnspecifiedMatching	MONDO	<http
MONDO:0000608	familial juvenile hyperuricemic nephropathy	skos:exactMatch	<http://linkedlifedata.com/resource/umls/id/CN239392>		semapv:UnspecifiedMatching	MONDO	<http
MONDO:0000608	familial juvenile hyperuricemic nephropathy	skos:exactMatch	<https://omim.org/phenotypicSeries/PS162000>		semapv:UnspecifiedMatching	MONDO	<https
MONDO:0000608	familial juvenile hyperuricemic nephropathy	skos:exactMatch	DOID:0060062		semapv:UnspecifiedMatching	MONDO	DOID
