subject_id	object_id	confidence	predicate_id	subject_label	object_label
FBbt:00002684	ZFA:0000496	0.73	skos:exactMatch	associated organ	compound organ
FBbt:00007173	ZFA:0009060	0.76	skos:exactMatch	cholinergic neuron	cholinergic neuron
FBbt:00047548	ZFA:0009088	0.57	skos:exactMatch	adult mesothoracic anterior anterior ventral commissure	professional antigen presenting cell
FBbt:00004055	ZFA:0005663	0.77	skos:exactMatch	adult dorsal prothoracic nerve	dorsal spinal nerve
FBbt:00000286	ZFA:0005685	0.7	skos:exactMatch	larval dorsal group tracheal branch 1	dG1
FBbt:00047541	ZFA:0005031	0.7	skos:exactMatch	dorsal lateral tract of ventral cervical fasciculus	dorsal longitudinal vein
FBbt:00000440	ZFA:0000066	0.86	skos:exactMatch	proctodeum	proctodeum
FBbt:00007164	ZFA:0000649	0.63	skos:exactMatch	dorsal arm of pharyngeal sclerite	dorsal horn spinal cord
FBbt:00000275	ZFA:0000320	0.67	skos:exactMatch	embryonic/larval dorsal tracheal branch 10	caudal commissure
FBbt:00000439	ZFA:0001290	0.86	skos:exactMatch	stomodeum	stomodeum
FBbt:00111202	ZFA:0001689	0.75	skos:exactMatch	anatomical line	anatomical line
FBbt:00047097	ZFA:0009242	0.95	skos:exactMatch	primary neuron	primary neuron
FBbt:00047096	ZFA:0009246	0.79	skos:exactMatch	secondary neuron	secondary neuron
FBbt:00001408	ZFA:0009011	0.98	skos:exactMatch	neuroblast X	neuroblast
FBbt:00001843	ZFA:0000547	0.57	skos:exactMatch	embryonic/larval mouth	mouth
FBbt:00100359	ZFA:0009361	0.82	skos:exactMatch	serotonergic SP neuron	serotonergic neuron
FBbt:00005412	ZFA:0009156	0.9	skos:exactMatch	gamete	gamete
FBbt:00007390	ZFA:0000425	0.54	skos:exactMatch	local interneuron of adult antennal lobe	anterior lateral line nerve
FBbt:00004019	ZFA:0005219	0.69	skos:exactMatch	adult cervical connective	choroid plexus vascular circuit
FBbt:00015899	ZFA:0000534	0.66	skos:exactMatch	lateral longitudinal fascicle	lateral longitudinal fasciculus
FBbt:00004873	ZFA:0005878	0.9	skos:exactMatch	female germline stem cell	oogonia
FBbt:00110636	ZFA:0000008	0.63	skos:exactMatch	adult cerebral ganglion	brain
FBbt:00110628	ZFA:0000228	0.64	skos:exactMatch	pars lateralis primordium	lateral line primordium
FBbt:00004860	ZFA:0009016	0.92	skos:exactMatch	germline cell	germ line cell
FBbt:00000092	ZFA:0009288	0.72	skos:exactMatch	primordial germ cell	primordial germ cell
FBbt:00047034	ZFA:0000202	0.73	skos:exactMatch	ellipsoid body anterior domain	efferent branchial artery
FBbt:00004858	ZFA:0000413	0.9	skos:exactMatch	gonad	gonad
FBbt:00058280	ZFA:0009400	0.75	skos:exactMatch	adult esophagus epithelial cell	epithelial cell of esophagus
FBbt:00004842	ZFA:0000121	0.62	skos:exactMatch	epandrial ventral lobe	lateral plate mesoderm
FBbt:00052517	ZFA:0009245	0.82	skos:exactMatch	primary interneuron	primary interneuron
FBbt:00052518	ZFA:0009244	1.04	skos:exactMatch	primary motor neuron	primary motor neuron
FBbt:00007553	ZFA:0000202	0.73	skos:exactMatch	ellipsoid body inner central domain	efferent branchial artery
FBbt:00007344	ZFA:0009307	0.87	skos:exactMatch	somatic stem cell	somatic stem cell
FBbt:00000043	ZFA:0005239	0.63	skos:exactMatch	micropyle	micropylar cell
FBbt:00004857	ZFA:0000632	0.85	skos:exactMatch	reproductive system	reproductive system
FBbt:00000038	ZFA:0000329	0.87	skos:exactMatch	chorion	chorion
FBbt:00000035	ZFA:0000084	0.87	skos:exactMatch	yolk	yolk
FBbt:00005058	ZFA:0000054	0.63	skos:exactMatch	pericardial cell	pericardium
