subject_id	object_id	confidence	predicate_id	subject_label	object_label
MONDO:0012546	NCIT:C123098	0.75	skos:exactMatch	nephrotic syndrome, type 3	Nephrotic Syndrome - PLCE1 Associated
MONDO:0007888	NCIT:C51302	0.72	skos:exactMatch	hereditary leiomyomatosis and renal cell cancer	Hereditary Leiomyomatosis and Renal Cell Carcinoma
MONDO:0013619	NCIT:C123099	0.75	skos:exactMatch	nephrotic syndrome, type 6	Nephrotic Syndrome - PTPRO Associated
MONDO:0011165	NCIT:C187984	0.75	skos:exactMatch	glomerulopathy with fibronectin deposits 2	Glomerulopathy with Fibronectin Deposits-2
MONDO:0005334	NCIT:C26833	0.55	skos:exactMatch	hereditary nephritis	Nephritis
MONDO:0011390	NCIT:C37308	0.66	skos:exactMatch	focal segmental glomerulosclerosis 2	Focal Segmental Glomerulosclerosis
MONDO:0014373	NCIT:C123080	0.75	skos:exactMatch	nephrotic syndrome, type 10	Nephrotic Syndrome - EMP2 Associated
MONDO:0003008	NCIT:C39789	0.93	skos:exactMatch	hereditary renal cell carcinoma	Hereditary Renal Cell Carcinoma
MONDO:0013131	NCIT:C123166	1.04	skos:exactMatch	polycystic kidney disease 2	Autosomal Dominant Polycystic Kidney Disease Type 2
MONDO:0003824	NCIT:C8960	0.79	skos:exactMatch	hereditary kidney oncocytoma	Hereditary Kidney Oncocytoma
MONDO:0008264	NCIT:C123171	0.94	skos:exactMatch	autosomal dominant medullary cystic kidney disease with or without hyperuricemia	Medullary Cystic Kidney Disease Type I
MONDO:0019005	NCIT:C123200	1.17	skos:exactMatch	nephronophthisis	Nephronophthisis
MONDO:0009728	NCIT:C74998	0.96	skos:exactMatch	nephronophthisis 1	Nephronophthisis 1
MONDO:0020726	NCIT:C123167	0.68	skos:exactMatch	tubulointerstitial kidney disease, autosomal dominant, 2	Autosomal Dominant Polycystic Kidney Disease Type I
MONDO:0020726	NCIT:C123171	0.74	skos:exactMatch	tubulointerstitial kidney disease, autosomal dominant, 2	Medullary Cystic Kidney Disease Type I
MONDO:0009889	NCIT:C84579	1.1	skos:exactMatch	autosomal recessive polycystic kidney disease	Autosomal Recessive Polycystic Kidney Disease
MONDO:0010974	NCIT:C123095	0.75	skos:exactMatch	nephrotic syndrome, type 2	Nephrotic Syndrome - NPHS2 Associated
MONDO:0004691	NCIT:C84578	0.93	skos:exactMatch	autosomal dominant polycystic kidney disease	Autosomal Dominant Polycystic Kidney Disease
MONDO:0012184	NCIT:C128145	0.78	skos:exactMatch	Pierson syndrome	Pierson Syndrome
MONDO:0009733	NCIT:C121198	0.88	skos:exactMatch	nephrotic syndrome, type 4	Congenital Nephrotic Syndrome - Diffuse Mesangial Sclerosis
MONDO:0009732	NCIT:C35337	0.57	skos:exactMatch	congenital nephrotic syndrome, Finnish type	Congenital Nephrotic Syndrome
MONDO:0009732	NCIT:C122795	0.88	skos:exactMatch	congenital nephrotic syndrome, Finnish type	Nephrotic Syndrome - NPHS1 Associated
MONDO:0018492	NCIT:C36260	0.95	skos:exactMatch	hereditary clear cell renal cell carcinoma	Hereditary Clear Cell Renal Cell Carcinoma
