# curie_map:
#   FBbt: http://purl.obolibrary.org/obo/FBbt_
#   ZFA: http://purl.obolibrary.org/obo/ZFA_
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/0d7d9f69-fd6b-462c-887c-9919cf2ce91c
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	match_string
FBbt:00000001	organism	skos:broadMatch	ZFA:0001094	whole organism	semapv:LexicalMatching	FBbt	ZFA	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	caro:0000012
FBbt:00000001	organism	skos:broadMatch	ZFA:0001094	whole organism	semapv:LexicalMatching	FBbt	ZFA	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	whole organism
FBbt:00000004	head	skos:relatedMatch	ZFA:0001114	head	semapv:LexicalMatching	FBbt	ZFA	oaklib	0.5	rdfs:label	rdfs:label	head
FBbt:00000034	egg	skos:broadMatch	ZFA:0001109	oocyte	semapv:LexicalMatching	FBbt	ZFA	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	egg
FBbt:00000034	egg	skos:narrowMatch	ZFA:0001570	unfertilized egg	semapv:LexicalMatching	FBbt	ZFA	oaklib	0.5	rdfs:label	oio:hasExactSynonym	egg
FBbt:00000035	yolk	skos:narrowMatch	ZFA:0000084	yolk	semapv:LexicalMatching	FBbt	ZFA	oaklib	0.5	rdfs:label	rdfs:label	yolk
FBbt:00000038	chorion	skos:relatedMatch	ZFA:0000329	chorion	semapv:LexicalMatching	FBbt	ZFA	oaklib	0.5	rdfs:label	rdfs:label	chorion
FBbt:00000092	primordial germ cell	skos:exactMatch	ZFA:0009288	primordial germ cell	semapv:LexicalMatching	FBbt	ZFA	oaklib	0.5	rdfs:label	rdfs:label	primordial germ cell
FBbt:00000111	ectoderm	skos:broadMatch	ZFA:0000016	ectoderm	semapv:LexicalMatching	FBbt	ZFA	oaklib	0.5	rdfs:label	rdfs:label	ectoderm
FBbt:00000124	epithelial cell	skos:relatedMatch	ZFA:0009034	epithelial cell	semapv:LexicalMatching	FBbt	ZFA	oaklib	0.5	rdfs:label	rdfs:label	epithelial cell
