ZFA:0009396	FBbt:00048032	0.81	skos:exactMatch	glycinergic neuron	glycinergic neuron
ZFA:0009073	FBbt:00005144	0.74	skos:exactMatch	glial cell	glial cell
ZFA:0009075	FBbt:00100505	0.63	skos:exactMatch	astrocyte	astrocyte-like glial cell
ZFA:0005957	FBbt:00007014	0.72	skos:exactMatch	stem cell	stem cell
ZFA:0005956	FBbt:00004861	0.84	skos:exactMatch	germline stem cell	germline stem cell
ZFA:0005663	FBbt:00004094	0.62	skos:exactMatch	dorsal spinal nerve	adult dorsal metathoracic nerve
ZFA:0005663	FBbt:00004055	0.66	skos:exactMatch	dorsal spinal nerve	adult dorsal prothoracic nerve
ZFA:0005663	FBbt:00002597	0.57	skos:exactMatch	dorsal spinal nerve	larval abdominal median nerve
ZFA:0000560	FBbt:00004911	0.59	skos:exactMatch	oviduct	oviduct
ZFA:0000435	FBbt:00001956	0.78	skos:exactMatch	cranial nerve II	optic nerve
ZFA:0009090	FBbt:00048537	0.64	skos:exactMatch	pigment cell	posterior escort cell
ZFA:0009090	FBbt:00004230	0.73	skos:exactMatch	pigment cell	pigment cell
ZFA:0001120	FBbt:00001061	0.81	skos:exactMatch	neuroectoderm	ventral neurectoderm
ZFA:0009386	FBbt:00100318	0.7	skos:exactMatch	somatic cell	somatic cell
ZFA:0000428	FBbt:00004179	0.77	skos:exactMatch	saccule	sacculus
ZFA:0007006	FBbt:00111204	0.57	skos:exactMatch	lip	embryonic/larval superior clamp
ZFA:0000425	FBbt:00007390	0.52	skos:exactMatch	anterior lateral line nerve	local interneuron of adult antennal lobe
ZFA:0001178	FBbt:00005558	0.57	skos:exactMatch	non neural ectoderm	ventral ectoderm
ZFA:0001114	FBbt:00000004	0.8	skos:exactMatch	head	head
ZFA:0009082	FBbt:00046052	0.59	skos:exactMatch	fat cell	fat cell
ZFA:0000413	FBbt:00004858	0.84	skos:exactMatch	gonad	gonad
ZFA:0009096	FBbt:00007294	0.86	skos:exactMatch	endocrine cell	endocrine cell
ZFA:0009097	FBbt:00007038	0.77	skos:exactMatch	enteroendocrine cell	enteroendocrine cell
ZFA:0009098	FBbt:00005130	0.54	skos:exactMatch	neuroendocrine cell	neurosecretory neuron
ZFA:0009115	FBbt:00005073	0.73	skos:exactMatch	skeletal muscle cell	somatic muscle cell
ZFA:0001108	FBbt:00001105	0.58	skos:exactMatch	anterior commissure	larval anterior commissure
ZFA:0001108	FBbt:00052197	0.64	skos:exactMatch	anterior commissure	anterior dorsal commissure
ZFA:0009088	FBbt:00047548	0.53	skos:exactMatch	professional antigen presenting cell	adult mesothoracic anterior anterior ventral commissure
ZFA:0005907	FBbt:00040005	0.8	skos:exactMatch	tectal neuropile	synaptic neuropil
ZFA:0005031	FBbt:00047541	0.57	skos:exactMatch	dorsal longitudinal vein	dorsal lateral tract of ventral cervical fasciculus
ZFA:0000403	FBbt:00004865	0.81	skos:exactMatch	ovary	ovary
ZFA:0000640	FBbt:00004191	0.8	skos:exactMatch	cornea	cornea
ZFA:0009022	FBbt:00045001	0.57	skos:exactMatch	megakaryocyte erythroid progenitor cell	plexiform medulla
ZFA:0009021	FBbt:00040072	0.57	skos:exactMatch	common myeloid progenitor	posterior slope
ZFA:0009016	FBbt:00004860	0.75	skos:exactMatch	germ line cell	germline cell
ZFA:0009014	FBbt:00005062	0.59	skos:exactMatch	hematopoietic stem cell	prohemocyte
ZFA:0009011	FBbt:00001408	0.83	skos:exactMatch	neuroblast	neuroblast X
